id,url,class,class_ntos,ntos_small_cn,ntos_small_other,addtime,Flag_Hand,Class2,state,extra_cls_flag,class_ntos_eng,test,result,time
11422885,zzykyy.com.cn,医疗保健,医疗健康,医疗健康,医疗健康,2023/9/13 11:23,1,,,0,Health Care,Health and Wellness,no,0
11400646,zzyongxu.com,商业,商业,商业,商业,2023/9/13 11:23,1,,,0,Business,Newly Observed Domain,no,0
